season,competition_id,league-name
2024/2025,12699,albania_superliga,1,domestic,ALB
2024/2025,12638,armenia_armenian_premier_league,1,domestic,ARM
2024/2025,12472,austria_bundesliga,1,domestic,AUT
2024/2025,12740,azerbaijan_premyer_liqas,1,domestic,AZE
2024/2025,12137,belgium_pro_league,1,domestic,BEL
2024/2025,12149,bulgaria_first_league,1,domestic,BGR
2024/2025,12121,croatia_prva_hnl,1,domestic,HRV
2024/2025,12336,czech_republic_first_league,1,domestic,CZE
2024/2025,12132,denmark_superliga,1,domestic,DNK
2024/2025,12451,england_championship,1,domestic,UNK
2024/2025,12446,england_efl_league_one,1,domestic,UNK
2024/2025,12422,england_efl_league_two,1,domestic,UNK
2024/2025,12325,england_premier_league,1,domestic,UNK
2024/2025,11119,estonia_meistriliiga,1,domestic,EST
2024/2025,11120,finland_veikkausliiga,1,domestic,FIN
2024/2025,12337,france_ligue_1,1,domestic,FRA
2024/2025,12338,france_ligue_2,1,domestic,FRA
2024/2025,12528,germany_2_bundesliga,1,domestic,DEU
2024/2025,12529,germany_bundesliga,1,domestic,DEU
2024/2025,12734,greece_super_league,1,domestic,GRC
2024/2025,12334,hungarionb_i,1,domestic,HUN
2024/2025,12530,italy_serie_a,1,domestic,ITA
2024/2025,12621,italy_serie_b,1,domestic,ITA
2024/2025,11279,kazakhstan_kazakhstan_premier_league,1,domestic,KAZ
2024/2025,11280,latvia_virsliga,1,domestic,LVA
2024/2025,12344,moldova_moldovaionational_division,1,domestic,MDA
2024/2025,12317,netherlands_eerste_divisie,1,domestic,NLD
2024/2025,12322,netherlands_eredivisie,1,domestic,NLD
2024/2025,10976,norway_eliteserien,1,domestic,NOR
2024/2025,12120,poland_ekstraklasa,1,domestic,POL
2024/2025,12931,portugal_liga_nos,1,domestic,PRT
2024/2025,12585,portugal_liga_pro,1,domestic,PRT
2024/2025,12495,romania_liga_i,1,domestic,ROU
2024/2025,12455,scotland_premiership,1,domestic,SCO
2024/2025,12138,serbia_superliga,1,domestic,SRB
2024/2025,12944,slovakia_super_liga,1,domestic,SVK
2024/2025,12316,spain_la_liga,1,domestic,ESP
2024/2025,12467,spain_segunda_division,1,domestic,ESP
2024/2025,10969,sweden_allsvenskan,1,domestic,SWE
2024/2025,12326,switzerland_super_league,1,domestic,SWI
2024/2025,12641,turkey_s_per_lig,1,domestic,TUR
2024/2025,12483,ukraine_ukrainian_premier_league,1,domestic,UKR