season,competition_id,league-name,domestic_value,league_type,country_code
2011/2012,3119,premier-league,1,domestic,ENG
2012/2013,246,premier-league,1,domestic,ENG
2013/2014,12,premier-league,1,domestic,ENG
2014/2015,11,premier-league,1,domestic,ENG
2015/2016,10,premier-league,1,domestic,ENG
2016/2017,9,premier-league,1,domestic,ENG
2017/2018,161,premier-league,1,domestic,ENG
2018/2019,1625,premier-league,1,domestic,ENG
2019/2020,2012,premier-league,1,domestic,ENG
2020/2021,4759,premier-league,1,domestic,ENG
2021/2022,6135,premier-league,1,domestic,ENG
2022/2023,7704,premier-league,1,domestic,ENG
2023/2024,9660,premier-league,1,domestic,ENG
2024/2025,12325,premier-league,1,domestic,ENG
2011/2012,3631,la-liga,1,domestic,SPA
2012/2013,38,la-liga,1,domestic,SPA
2013/2014,37,la-liga,1,domestic,SPA
2014/2015,36,la-liga,1,domestic,SPA
2015/2016,35,la-liga,1,domestic,SPA
2016/2017,34,la-liga,1,domestic,SPA
2017/2018,171,la-liga,1,domestic,SPA
2018/2019,1677,la-liga,1,domestic,SPA
2019/2020,2319,la-liga,1,domestic,SPA
2020/2021,4944,la-liga,1,domestic,SPA
2021/2022,6211,la-liga,1,domestic,SPA
2022/2023,7665,la-liga,1,domestic,SPA
2023/2024,9665,la-liga,1,domestic,SPA
2024/2025,12316,la-liga,1,domestic,SPA
2011/2012,4123,Bundesliga-1,1,domestic,GER
2012/2013,4105,Bundesliga-1,1,domestic,GER
2013/2014,7,Bundesliga-1,1,domestic,GER
2014/2015,5,Bundesliga-1,1,domestic,GER
2015/2016,4,Bundesliga-1,1,domestic,GER
2016/2017,3,Bundesliga-1,1,domestic,GER
2017/2018,177,Bundesliga-1,1,domestic,GER
2018/2019,1636,Bundesliga-1,1,domestic,GER
2019/2020,4392,Bundesliga-1,1,domestic,GER
2020/2021,4673,Bundesliga-1,1,domestic,GER
2021/2022,6192,Bundesliga-1,1,domestic,GER
2022/2023,7664,Bundesliga-1,1,domestic,GER
2023/2024,9655,Bundesliga-1,1,domestic,GER
2024/2025,12529,Bundesliga-1,1,domestic,GER
2011/2012,4136,ligue-1,1,domestic,FRA
2012/2013,4127,ligue-1,1,domestic,FRA
2013/2014,67,ligue-1,1,domestic,FRA
2014/2015,66,ligue-1,1,domestic,FRA
2015/2016,75,ligue-1,1,domestic,FRA
2016/2017,65,ligue-1,1,domestic,FRA
2017/2018,180,ligue-1,1,domestic,FRA
2018/2019,1508,ligue-1,1,domestic,FRA
2019/2020,2392,ligue-1,1,domestic,FRA
2020/2021,4505,ligue-1,1,domestic,FRA
2021/2022,6019,ligue-1,1,domestic,FRA
2022/2023,7500,ligue-1,1,domestic,FRA
2023/2024,9674,ligue-1,1,domestic,FRA
2024/2025,12337,ligue-1,1,domestic,FRA
2012/2013,4185,ligue-2,2,domestic,FRA
2013/2014,4164,ligue-2,2,domestic,FRA
2014/2015,76,ligue-2,2,domestic,FRA
2015/2016,74,ligue-2,2,domestic,FRA
2016/2017,73,ligue-2,2,domestic,FRA
2017/2018,181,ligue-2,2,domestic,FRA
2018/2019,1579,ligue-2,2,domestic,FRA
2019/2020,2396,ligue-2,2,domestic,FRA
2020/2021,4645,ligue-2,2,domestic,FRA
2021/2022,6018,ligue-2,2,domestic,FRA
2022/2023,7501,ligue-2,2,domestic,FRA
2023/2024,9621,ligue-2,2,domestic,FRA
2024/2025,12338,ligue-2,2,domestic,FRA
2011/2012,3940,Italy-Serie-A,1,domestic,ITA
2012/2013,3945,Italy-Serie-A,1,domestic,ITA
2013/2014,71,Italy-Serie-A,1,domestic,ITA
2014/2015,70,Italy-Serie-A,1,domestic,ITA
2015/2016,69,Italy-Serie-A,1,domestic,ITA
2016/2017,68,Italy-Serie-A,1,domestic,ITA
2017/2018,182,Italy-Serie-A,1,domestic,ITA
2018/2019,1680,Italy-Serie-A,1,domestic,ITA
2019/2020,2588,Italy-Serie-A,1,domestic,ITA
2020/2021,4889,Italy-Serie-A,1,domestic,ITA
2021/2022,6198,Italy-Serie-A,1,domestic,ITA
2022/2023,7608,Italy-Serie-A,1,domestic,ITA
2023/2024,9697,Italy-Serie-A,1,domestic,ITA
2024/2025,12530,Italy-Serie-A,1,domestic,ITA
2014/2015,17,Portugal-League-1,1,domestic,POR
2015/2016,14,Portugal-League-1,1,domestic,POR
2016/2017,13,Portugal-League-1,1,domestic,POR
2017/2018,173,Portugal-League-1,1,domestic,POR
2018/2019,1593,Portugal-League-1,1,domestic,POR
2019/2020,2321,Portugal-League-1,1,domestic,POR
2020/2021,4885,Portugal-League-1,1,domestic,POR
2021/2022,6117,Portugal-League-1,1,domestic,POR
2022/2023,7731,Portugal-League-1,1,domestic,POR
2023/2024,9984,Portugal-League-1,1,domestic,POR
2024/2025,12931,Portugal-League-1,1,domestic,POR
2011/2012,4234,Netherland-League-1,1,domestic,NET
2012/2013,4226,Netherland-League-1,1,domestic,NET
2013/2014,54,Netherland-League-1,1,domestic,NET
2014/2015,53,Netherland-League-1,1,domestic,NET
2015/2016,52,Netherland-League-1,1,domestic,NET
2016/2017,51,Netherland-League-1,1,domestic,NET
2017/2018,178,Netherland-League-1,1,domestic,NET
2018/2019,1585,Netherland-League-1,1,domestic,NET
2019/2020,2272,Netherland-League-1,1,domestic,NET
2020/2021,4746,Netherland-League-1,1,domestic,NET
2021/2022,5951,Netherland-League-1,1,domestic,NET
2022/2023,7482,Netherland-League-1,1,domestic,NET
2023/2024,9653,Netherland-League-1,1,domestic,NET
2024/2025,12322,Netherland-League-1,1,domestic,NET
2011/2012,4167,Spain-Segunda-División,2,domestic,SPA
2012/2013,43,Spain-Segunda-División,2,domestic,SPA
2013/2014,42,Spain-Segunda-División,2,domestic,SPA
2014/2015,41,Spain-Segunda-División,2,domestic,SPA
2015/2016,40,Spain-Segunda-División,2,domestic,SPA
2016/2017,39,Spain-Segunda-División,2,domestic,SPA
2017/2018,172,Spain-Segunda-División,2,domestic,SPA
2018/2019,1670,Spain-Segunda-División,2,domestic,SPA
2019/2020,2415,Spain-Segunda-División,2,domestic,SPA
2020/2021,4842,Spain-Segunda-División,2,domestic,SPA
2021/2022,6120,Spain-Segunda-División,2,domestic,SPA
2022/2023,7592,Spain-Segunda-División,2,domestic,SPA
2023/2024,9675,Spain-Segunda-División,2,domestic,SPA
2024/2025,12467,Spain-Segunda-División,2,domestic,SPA
2011/2012,4243,Netherlands-League-2,2,domestic,POR
2012/2013,4236,Netherlands-League-2,2,domestic,POR
2013/2014,4228,Netherlands-League-2,2,domestic,POR
2014/2015,57,Netherlands-League-2,2,domestic,POR
2015/2016,56,Netherlands-League-2,2,domestic,POR
2016/2017,55,Netherlands-League-2,2,domestic,POR
2017/2018,179,Netherlands-League-2,2,domestic,POR
2018/2019,1584,Netherlands-League-2,2,domestic,POR
2019/2020,2273,Netherlands-League-2,2,domestic,POR
2020/2021,4748,Netherlands-League-2,2,domestic,POR
2021/2022,5950,Netherlands-League-2,2,domestic,POR
2022/2023,7484,Netherlands-League-2,2,domestic,POR
2023/2024,9653,Netherlands-League-2,2,domestic,POR
2014/2015,4284,Portugal-League-2,2,domestic,POR
2015/2016,966,Portugal-League-2,2,domestic,POR
2016/2017,965,Portugal-League-2,2,domestic,POR
2017/2018,174,Portugal-League-2,2,domestic,POR
2018/2019,1594,Portugal-League-2,2,domestic,POR
2019/2020,2320,Portugal-League-2,2,domestic,POR
2020/2021,4886,Portugal-League-2,2,domestic,POR
2021/2022,6116,Portugal-League-2,2,domestic,POR
2022/2023,7732,Portugal-League-2,2,domestic,POR
2023/2024,9704,Portugal-League-2,2,domestic,POR
2024/2025,12585,Portugal-League-2,2,domestic,POR
2011/2012,3949,Italy-Serie-B,2,domestic,ITA
2012/2013,81,Italy-Serie-B,2,domestic,ITA
2013/2014,80,Italy-Serie-B,2,domestic,ITA
2014/2015,79,Italy-Serie-B,2,domestic,ITA
2015/2016,78,Italy-Serie-B,2,domestic,ITA
2016/2017,77,Italy-Serie-B,2,domestic,ITA
2017/2018,183,Italy-Serie-B,2,domestic,ITA
2018/2019,1749,Italy-Serie-B,2,domestic,ITA
2019/2020,2642,Italy-Serie-B,2,domestic,ITA
2020/2021,4972,Italy-Serie-B,2,domestic,ITA
2021/2022,6205,Italy-Serie-B,2,domestic,ITA
2022/2023,7864,Italy-Serie-B,2,domestic,ITA
2023/2024,9808,Italy-Serie-B,2,domestic,ITA
2024/2025,12621,Italy-Serie-B,2,domestic,ITA
2012/2013,223,Scotland-Premiership,1,domestic,SCO
2013/2014,169,Scotland-Premiership,1,domestic,SCO
2014/2015,168,Scotland-Premiership,1,domestic,SCO
2015/2016,167,Scotland-Premiership,1,domestic,SCO
2016/2017,2,Scotland-Premiership,1,domestic,SCO
2017/2018,164,Scotland-Premiership,1,domestic,SCO
2018/2019,1600,Scotland-Premiership,1,domestic,SCO
2019/2020,2361,Scotland-Premiership,1,domestic,SCO
2020/2021,4478,Scotland-Premiership,1,domestic,SCO
2021/2022,5992,Scotland-Premiership,1,domestic,SCO
2022/2023,7494,Scotland-Premiership,1,domestic,SCO
2023/2024,9636,Scotland-Premiership,1,domestic,SCO
2024/2025,12455,Scotland-Premiership,1,domestic,SCO
2011/2012,3143,efl-championship,2,domestic,ENG
2012/2013,3141,efl-championship,2,domestic,ENG
2013/2014,27,efl-championship,2,domestic,ENG
2014/2015,26,efl-championship,2,domestic,ENG
2015/2016,25,efl-championship,2,domestic,ENG
2016/2017,22,efl-championship,2,domestic,ENG
2017/2018,165,efl-championship,2,domestic,ENG
2018/2019,1624,efl-championship,2,domestic,ENG
2019/2020,2187,efl-championship,2,domestic,ENG
2020/2021,4912,efl-championship,2,domestic,ENG
2021/2022,6089,efl-championship,2,domestic,ENG
2022/2023,7593,efl-championship,2,domestic,ENG
2023/2024,9663,efl-championship,2,domestic,ENG
2024/2025,12451,efl-championship,2,domestic,ENG
2011/2012,3952,EFL-League-1,3,domestic,ENG
2012/2013,3950,EFL-League-1,3,domestic,ENG
2013/2014,31,EFL-League-1,3,domestic,ENG
2014/2015,30,EFL-League-1,3,domestic,ENG
2015/2016,29,EFL-League-1,3,domestic,ENG
2016/2017,28,EFL-League-1,3,domestic,ENG
2017/2018,166,EFL-League-1,3,domestic,ENG
2018/2019,1564,EFL-League-1,3,domestic,ENG
2019/2020,2191,EFL-League-1,3,domestic,ENG
2020/2021,4845,EFL-League-1,3,domestic,ENG
2021/2022,6017,EFL-League-1,3,domestic,ENG
2022/2023,7570,EFL-League-1,3,domestic,ENG
2023/2024,9582,EFL-League-1,3,domestic,ENG
2024/2025,12446,EFL-League-1,3,domestic,ENG
